ORGANIZATION,CITY,STATE,AWARDS,FUNDING,YEAR
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,1,199597,2010
"20/20 GENESYSTEMS, INC.",ROCKVILLE,MD,1,750000,2010
"21ST CENTURY MEDICINE, INC.",RANCHO CUCAMONGA,CA,1,251046,2010
"2B TECHNOLOGIES, INC.",Boulder,CO,1,364923,2010
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,3,1371216,2010
"3DMD, LLC",ATLANTA,GA,1,100001,2010
"3DT HOLDINGS, LLC",INDIANAPOLIS,IN,1,99936,2010
4 D TECHNOLOGY CORPORATION,TUCSON,AZ,1,107275,2010
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,1,575793,2010
A&E INNOVATIONS,mequon,WI,1,107347,2010
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,2,528223,2010
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,11,5001525,2010
"ABC FOR HEALTH, INC.",MADISON,WI,1,199853,2010
ABEOME CORPORATION,ATHENS,GA,1,133995,2010
"ABIOMED, INC.",DANVERS,MA,4,1123252,2010
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,1,187476,2010
ABRATECH CORPORATION,SAUSALITO,CA,1,149798,2010
"ABT ASSOCIATES, INC.",CAMBRIDGE,MA,1,192810,2010
"ACADEMIC EDGE, INC.",BLOOMINGTON,IN,0,44813,2010
"ACADEMIC PHARMACEUTICALS, INC.",LAKE BLUFF,IL,1,102910,2010
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,4,5125190,2010
ACADEMY FOR EDUCATIONAL DEVELOPMENT,WASHINGTON,DC,1,563434,2010
"ACCELALOX, INC.",MENLO PARK,CA,1,228827,2010
"ACCELERATED MEDICAL DIAGNOSTICS, LLC",DAVIS,CA,1,195550,2010
"ACCELEREYES, LLC",Atlanta,GA,1,236424,2010
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,1,99989,2010
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,1,109541,2010
"ACCORD BIOMATERIALS, INC.",ANN ARBOR,MI,1,515403,2010
"ACELOT, INC.",SANTA BARBARA,CA,1,183715,2010
"ACHAOGEN, INC.",SOUTH SAN FRANCISCO,CA,1,5697418,2010
"ACHEVE TECHNOLOGY, INC.",IRVINE,CA,1,145325,2010
"ACHILLION PHARMACEUTICALS, INC.",NEW HAVEN,CT,1,300000,2010
"ACME EXPRESS, INC.",CLEVELAND,OH,1,176839,2010
"ACOUSTIC MEDSYSTEMS, INC.",CHAMPAIGN,IL,2,2169248,2010
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,1,188384,2010
"ACTIGRAPH, LLC",FORT WALTON BEACH,FL,1,358456,2010
"ACTIVE MOTIF, INC.",CARLSBAD,CA,1,288934,2010
"ACTIVE WAVE, INC.",BOCA RATON,FL,1,124896,2010
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,1,389453,2010
"ACTUATED MEDICAL, INC.",Bellefonte,PA,2,644005,2010
"ADA TECHNOLOGIES, INC.",LITTLETON,CO,3,1151535,2010
ADAPTIVE TCR CORPORATION,SEATTLE,WA,1,332770,2010
"ADARZA BIOSYSTEMS, INC.",WEST HENRIETTA,NY,1,874681,2010
"ADDIS, INC.",CAMP SPRINGS,MD,1,755449,2010
ADURO BIOTECH,BERKELEY,CA,1,200763,2010
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,1,198970,2010
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,1,795459,2010
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,5,12543408,2010
"ADVANCED CELL DIAGNOSTICS, INC.",HAYWARD,CA,1,997818,2010
