State,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024
Alabama,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,5033094,5049196,5076181,5117673,5157699
Alaska,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,733017,734420,734442,736510,740133
Arizona,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7187135,7274078,7377566,7473027,7582384
Arkansas,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3014546,3026870,3047704,3069463,3088354
California,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39521958,39142565,39142414,39198693,39431263
Colorado,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5787129,5814036,5850935,5901339,5957493
Connecticut,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3579918,3606607,3617925,3643023,3675069
Delaware,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,991928,1005062,1020625,1036423,1051917
District of Columbia,605282,620290,635737,651559,663603,677014,687576,697079,704147,708253,670917,669256,676725,687324,702250
Florida,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21592035,21831949,22379312,22904868,23372215
Georgia,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10732888,10792060,10931805,11064432,11180878
Hawaii,1364004,1379562,1395199,1408822,1415335,1422999,1428885,1425763,1423102,1415615,1451252,1447029,1440359,1441387,1446146
Idaho,1570819,1584272,1595910,1612053,1632248,1652495,1684036,1719745,1752074,1789060,1849415,1904848,1944299,1971122,2001619
Illinois,12840545,12867783,12883029,12895778,12885092,12859585,12821709,12779893,12724685,12667017,12799088,12700641,12621821,12642259,12710158
Indiana,6490555,6517250,6538989,6570575,6596019,6611442,6637898,6662068,6698481,6731010,6790497,6815907,6844545,6880131,6924275
Iowa,3050819,3066772,3076844,3093935,3110643,3122541,3133210,3143734,3149900,3159596,3191141,3198613,3202820,3218414,3241488
Kansas,2858266,2869677,2886024,2894306,2901861,2910717,2912977,2910892,2912748,2912635,2938172,2938338,2937324,2951500,2970606
Kentucky,4348464,4370817,4387865,4406906,4416992,4429126,4440306,4455590,4464273,4472345,4508318,4507583,4519233,4550595,4588372
Louisiana,4544635,4576244,4602067,4626040,4645938,4666998,4681346,4673673,4664450,4658285,4652301,4627971,4593687,4588071,4597740
Maine,1327651,1328473,1328094,1328543,1331217,1329098,1332348,1335743,1340123,1345770,1364571,1378931,1390922,1399646,1405012
Maryland,5788784,5840241,5888375,5925197,5960064,5988528,6007014,6028186,6042153,6054954,6177935,6179403,6192440,6217062,6263220
Massachusetts,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6894883,6994598,7000474,7022468,7066568,7136171
Michigan,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,9984795,10072703,10041351,10050877,10083356,10140459
